MCLU,TIME[Myr],Z,NB_P,EBIN
1012,37.5,0.02,1,1.3613287120809818e+47
1012,83.5,0.02,0,6.707011194351227e+46
1012,83.5,0.02,1,8.25198969701464e+46
1012,48.75,0.02,0,1.1912513245217698e+48
1012,48.75,0.02,1,1.0999673099847352e+47
1012,29.0,0.02,0,1.1700146266060294e+48
1012,29.0,0.02,1,1.3527727309488662e+47
1012,74.25,0.02,0,6.813312416975004e+47
1012,74.25,0.02,1,1.0472845309517375e+47
1012,60.5,0.02,0,6.820776586362675e+47
1012,60.5,0.02,1,1.07910689951034e+47
1012,31.5,0.02,0,1.1695199999876556e+48
1012,31.5,0.02,1,1.3622075313910786e+47
1012,8.5,0.02,0,2.1486325576051638e+49
1012,8.5,0.02,1,1.4998392209074077e+47
1012,79.5,0.02,0,6.697500022093636e+46
1012,79.5,0.02,1,8.261651359131639e+46
1012,23.0,0.02,0,1.1685591342397556e+48
1012,23.0,0.02,1,1.3819179033600377e+47
1012,3.25,0.02,0,3.0819340442833785e+49
1012,3.25,0.02,1,1.3092678731880146e+47
1012,89.5,0.02,0,6.698898623664453e+46
1012,89.5,0.02,1,8.260281611248213e+46
1012,96.75,0.02,0,1.4035684286598033e+47
1012,96.75,0.02,1,8.253635058832629e+46
1012,33.5,0.02,0,1.1691582064422082e+48
1012,33.5,0.02,1,1.3613722924334293e+47
1012,6.0,0.02,0,2.518315654920443e+49
1012,6.0,0.02,1,1.5025658745851407e+47
1012,32.25,0.02,0,1.1696057989416307e+48
1012,32.25,0.02,1,1.361341773937861e+47
1012,40.75,0.02,0,1.193479891637255e+48
1012,40.75,0.02,1,1.1054638964034211e+47
1012,91.5,0.02,0,6.702703390585056e+46
1012,91.5,0.02,1,8.256630594207349e+46
1012,15.75,0.02,0,1.579839364607371e+49
1012,15.75,0.02,1,1.4100144230003074e+47
1012,50.0,0.02,0,1.1912568587166058e+48
1012,50.0,0.02,1,1.0997351660588602e+47
1012,70.5,0.02,0,6.815026018236888e+47
1012,70.5,0.02,1,1.0475255394581872e+47
1012,100.0,0.02,0,1.3055166065684523e+47
1012,100.0,0.02,1,8.259447404348942e+46
1012,15.25,0.02,0,1.579096129655454e+49
1012,15.25,0.02,1,1.4843735761517058e+47
1012,19.0,0.02,0,7.317472880461407e+48
1012,19.0,0.02,1,1.39799491172071e+47
1012,87.5,0.02,0,6.699596386032988e+46
